,holds,grades
0,"[('A4', 'start'), ('B7', 'hold'), ('E5', 'start'), ('E11', 'hold'), ('G8', 'hold'), ('I12', 'end'), ('J12', 'end')]",6C
1,"[('D9', 'hold'), ('H12', 'end'), ('H7', 'hold'), ('J5', 'start')]",6C
2,"[('C12', 'end'), ('F12', 'hold'), ('F6', 'start'), ('H3', 'start'), ('J7', 'hold'), ('K7', 'hold'), ('K11', 'hold')]",6C
3,"[('E6', 'start'), ('E11', 'hold'), ('F6', 'start'), ('I12', 'hold'), ('J12', 'hold'), ('K12', 'end')]",6C
4,"[('C4', 'start'), ('E7', 'hold'), ('F5', 'start'), ('F2', 'hold'), ('G7', 'hold'), ('H12', 'end'), ('I9', 'hold'), ('I11', 'hold'), ('K12', 'end')]",6C
5,"[('F12', 'end'), ('F2', 'hold'), ('H8', 'hold'), ('J5', 'start'), ('K8', 'hold'), ('K11', 'hold')]",6C
6,"[('A6', 'start'), ('C10', 'hold'), ('E8', 'hold'), ('F4', 'start'), ('H11', 'hold'), ('H10', 'hold'), ('J12', 'end'), ('J5', 'hold'), ('K12', 'end')]",6C
7,"[('B5', 'hold'), ('C12', 'end'), ('E3', 'hold'), ('E11', 'hold'), ('F10', 'hold'), ('G5', 'start'), ('J10', 'hold'), ('K3', 'start'), ('K7', 'hold')]",6C
8,"[('C12', 'end'), ('E9', 'hold'), ('E10', 'hold'), ('I8', 'hold'), ('J6', 'start'), ('J5', 'start')]",6C
9,"[('A3', 'start'), ('C8', 'hold'), ('D4', 'start'), ('F11', 'hold'), ('G12', 'hold'), ('I5', 'hold'), ('J12', 'end'), ('K12', 'end')]",6C
10,"[('C12', 'end'), ('E7', 'hold'), ('E11', 'hold'), ('E12', 'end'), ('F2', 'hold'), ('I7', 'hold'), ('J10', 'hold'), ('J5', 'start')]",6C
11,"[('E5', 'start'), ('E9', 'hold'), ('F10', 'hold'), ('G6', 'start'), ('J10', 'hold'), ('K12', 'end')]",6C
12,"[('D6', 'start'), ('F12', 'end'), ('F6', 'start'), ('K2', 'hold')]",6C
13,"[('A6', 'start'), ('B12', 'end'), ('D10', 'hold')]",6C
14,"[('B4', 'hold'), ('C12', 'end'), ('E7', 'hold'), ('G10', 'hold'), ('I8', 'hold'), ('J5', 'start')]",6C
15,"[('C12', 'end'), ('D12', 'end'), ('F9', 'hold'), ('G5', 'start'), ('J11', 'hold'), ('K4', 'start'), ('K7', 'hold')]",6C
16,"[('A8', 'hold'), ('C6', 'start'), ('C11', 'hold'), ('D12', 'hold'), ('E6', 'start'), ('G4', 'hold'), ('G12', 'end'), ('H11', 'hold'), ('K12', 'end')]",6C
17,"[('E7', 'hold'), ('G12', 'end'), ('H9', 'hold'), ('I4', 'start'), ('K7', 'hold')]",6B+
18,"[('A2', 'hold'), ('A9', 'hold'), ('B7', 'hold'), ('C11', 'hold'), ('D12', 'end'), ('E3', 'start'), ('F12', 'end'), ('G7', 'hold'), ('J6', 'start')]",6B+
19,"[('C12', 'end'), ('D12', 'end'), ('D9', 'hold'), ('G5', 'start'), ('H11', 'hold'), ('J6', 'start')]",6B+
