,holds,grades
0,"[('B18', 'end'), ('B13', 'hold'), ('F11', 'hold'), ('G8', 'hold'), ('K6', 'start')]",7C
1,"[('A18', 'end'), ('B15', 'hold'), ('B4', 'start'), ('D6', 'start'), ('F13', 'hold'), ('G8', 'hold'), ('K5', 'hold'), ('K9', 'hold'), ('K13', 'hold')]",7C
2,"[('D12', 'hold'), ('D7', 'hold'), ('D1', 'start'), ('G2', 'start'), ('I14', 'hold'), ('J18', 'end')]",7C
3,"[('C11', 'hold'), ('D18', 'end'), ('E3', 'start'), ('E8', 'hold'), ('E15', 'hold'), ('G8', 'hold'), ('I4', 'start')]",7B+
4,"[('B3', 'start'), ('F8', 'hold'), ('G2', 'start'), ('G13', 'hold'), ('H18', 'end')]",7B+
5,"[('D14', 'hold'), ('D4', 'start'), ('G1', 'start'), ('G18', 'end'), ('H13', 'hold'), ('I10', 'hold'), ('J5', 'hold')]",7B
6,"[('A7', 'hold'), ('C15', 'hold'), ('D11', 'hold'), ('D3', 'start'), ('E18', 'end')]",7B
7,"[('A4', 'start'), ('B18', 'end'), ('E9', 'hold'), ('F16', 'hold'), ('F9', 'hold'), ('G2', 'start'), ('G17', 'hold'), ('J13', 'hold')]",7B
8,"[('A3', 'hold'), ('A13', 'hold'), ('B9', 'hold'), ('B6', 'hold'), ('D16', 'hold'), ('E18', 'hold'), ('G18', 'end'), ('H5', 'start'), ('I7', 'hold'), ('K5', 'start')]",7B
9,"[('D18', 'end'), ('D3', 'start'), ('E15', 'hold'), ('H5', 'start'), ('I9', 'hold'), ('J13', 'hold')]",7B
10,"[('A18', 'end'), ('C5', 'start'), ('D14', 'hold'), ('E8', 'hold'), ('F17', 'hold'), ('G2', 'start'), ('H11', 'hold')]",7B
11,"[('A4', 'start'), ('B4', 'start'), ('C7', 'hold'), ('D2', 'hold'), ('F18', 'end'), ('H15', 'hold'), ('H11', 'hold'), ('H7', 'hold'), ('K13', 'hold')]",7B
12,"[('B17', 'hold'), ('C13', 'hold'), ('E5', 'start'), ('E9', 'hold'), ('G17', 'hold'), ('J4', 'start'), ('K11', 'hold'), ('K18', 'end')]",7A+
13,"[('B18', 'end'), ('C17', 'hold'), ('D14', 'hold'), ('E10', 'hold'), ('F3', 'start'), ('G8', 'hold'), ('I3', 'start')]",7A+
14,"[('B4', 'start'), ('C4', 'start'), ('C16', 'hold'), ('D14', 'hold'), ('E13', 'hold'), ('F18', 'end'), ('G4', 'hold'), ('G7', 'hold'), ('I10', 'hold')]",7A+
15,"[('B18', 'end'), ('F14', 'hold'), ('F9', 'hold'), ('H2', 'start'), ('J9', 'hold'), ('J3', 'start')]",7A+
16,"[('C3', 'start'), ('E5', 'hold'), ('F14', 'hold'), ('G18', 'end'), ('H11', 'hold'), ('J5', 'hold'), ('K1', 'hold')]",7A+
17,"[('B13', 'hold'), ('E16', 'hold'), ('F18', 'hold'), ('F11', 'hold'), ('F9', 'hold'), ('J18', 'end'), ('J5', 'start')]",7A+
18,"[('E13', 'hold'), ('G4', 'start'), ('H17', 'hold'), ('H13', 'hold'), ('I9', 'hold'), ('J4', 'start'), ('K11', 'hold'), ('K18', 'end')]",7A+
19,"[('A7', 'hold'), ('B6', 'start'), ('C3', 'start'), ('D13', 'hold'), ('D11', 'hold'), ('G16', 'hold'), ('I14', 'hold'), ('K18', 'end')]",7A+
20,"[('C14', 'hold'), ('E10', 'hold'), ('F10', 'hold'), ('H15', 'hold'), ('H6', 'start'), ('I6', 'hold'), ('I18', 'end'), ('J3', 'start')]",7A
21,"[('D5', 'start'), ('E2', 'start'), ('E15', 'hold'), ('E18', 'end'), ('H11', 'hold'), ('H8', 'hold'), ('J4', 'hold'), ('K14', 'hold')]",7A
22,"[('B13', 'hold'), ('C9', 'hold'), ('D7', 'hold'), ('E16', 'hold'), ('F11', 'hold'), ('G14', 'hold'), ('I4', 'start'), ('I6', 'start'), ('J18', 'end')]",7A
23,"[('C5', 'start'), ('D5', 'start'), ('F12', 'hold'), ('G8', 'hold'), ('H15', 'hold'), ('H14', 'hold'), ('H5', 'hold'), ('J18', 'end'), ('K3', 'hold'), ('K9', 'hold')]",7A
