,holds,grades
0,"[('E4', 'start'), ('F18', 'end'), ('G4', 'start'), ('G8', 'hold'), ('G13', 'hold'), ('H15', 'hold'), ('K9', 'hold')]",6A
1,"[('A5', 'start'), ('D10', 'hold'), ('E13', 'hold'), ('F18', 'end'), ('F5', 'start'), ('G13', 'hold'), ('I8', 'hold')]",6A
2,"[('B3', 'start'), ('D11', 'hold'), ('E3', 'start'), ('E17', 'hold'), ('F18', 'end'), ('F7', 'hold'), ('G13', 'hold'), ('H9', 'hold')]",6A
3,"[('A18', 'end'), ('C13', 'hold'), ('D17', 'hold'), ('F5', 'start'), ('G14', 'hold'), ('H10', 'hold'), ('H1', 'start'), ('I8', 'hold')]",6A
4,"[('B18', 'end'), ('D11', 'hold'), ('D4', 'start'), ('E13', 'hold'), ('E16', 'hold'), ('F9', 'hold'), ('F6', 'hold'), ('H5', 'start')]",6A
5,"[('A1', 'start'), ('A5', 'start'), ('C10', 'hold'), ('C13', 'hold'), ('D18', 'end'), ('E8', 'hold'), ('G14', 'hold')]",6A
6,"[('C10', 'hold'), ('D15', 'hold'), ('E4', 'start'), ('E5', 'hold'), ('E8', 'hold'), ('F12', 'hold'), ('G17', 'hold'), ('H18', 'end'), ('I4', 'start')]",6A
7,"[('D15', 'hold'), ('E6', 'start'), ('F18', 'end'), ('F12', 'hold'), ('G10', 'hold'), ('G13', 'hold'), ('I5', 'start')]",6A
8,"[('A3', 'start'), ('A5', 'start'), ('C7', 'hold'), ('C13', 'hold'), ('D9', 'hold'), ('F18', 'end'), ('F15', 'hold'), ('H18', 'end')]",6A
9,"[('B18', 'end'), ('B3', 'start'), ('E3', 'start'), ('E7', 'hold'), ('E16', 'hold'), ('F15', 'hold'), ('G11', 'hold'), ('I10', 'hold'), ('J14', 'hold')]",6A
10,"[('D9', 'hold'), ('E4', 'start'), ('E15', 'hold'), ('F18', 'end'), ('F12', 'hold'), ('G7', 'hold'), ('G13', 'hold'), ('H18', 'end'), ('H10', 'hold'), ('H3', 'start')]",6A
11,"[('A5', 'start'), ('E7', 'hold'), ('F5', 'start'), ('G13', 'hold'), ('H18', 'end'), ('H10', 'hold'), ('I8', 'hold'), ('J18', 'end'), ('J16', 'hold'), ('J13', 'hold')]",5+
12,"[('C10', 'hold'), ('D15', 'hold'), ('F18', 'end'), ('F7', 'hold'), ('G4', 'start'), ('G13', 'hold'), ('J6', 'start')]",5+
13,"[('C10', 'hold'), ('D15', 'hold'), ('F18', 'end'), ('F7', 'hold'), ('G4', 'start'), ('G8', 'hold'), ('G13', 'hold'), ('J6', 'start')]",5+
14,"[('D15', 'hold'), ('E4', 'start'), ('F18', 'end'), ('F12', 'hold'), ('F7', 'hold'), ('G4', 'start'), ('G8', 'hold')]",5+
15,"[('D15', 'hold'), ('D5', 'start'), ('F18', 'end'), ('F12', 'hold'), ('G4', 'start'), ('G8', 'hold'), ('G10', 'hold'), ('G13', 'hold')]",5+
16,"[('B18', 'end'), ('C16', 'hold'), ('D10', 'hold'), ('E13', 'hold'), ('F8', 'hold'), ('H5', 'start'), ('K4', 'start')]",5+
17,"[('D9', 'hold'), ('F18', 'end'), ('F12', 'hold'), ('G4', 'start'), ('G6', 'hold'), ('G8', 'hold'), ('G14', 'hold'), ('I16', 'hold'), ('J4', 'start')]",5+
