,holds,grades,year,angle
1112,"[('A18', 'end'), ('B6', 'start'), ('B2', 'start'), ('C18', 'end'), ('E8', 'hold'), ('F7', 'hold'), ('G11', 'hold'), ('G17', 'hold'), ('H13', 'hold'), ('K10', 'hold'), ('K15', 'hold')]",7C+,2019,40
1113,"[('F12', 'hold'), ('F9', 'hold'), ('H6', 'start'), ('J18', 'end'), ('K12', 'hold')]",7C+,2019,40
1114,"[('B18', 'end'), ('C17', 'hold'), ('F11', 'hold'), ('J15', 'hold'), ('J3', 'start'), ('K9', 'hold')]",7C+,2019,40
1115,"[('B18', 'end'), ('C3', 'start'), ('D5', 'start'), ('F12', 'hold'), ('H15', 'hold'), ('I9', 'hold')]",7C+,2019,40
1116,"[('B14', 'hold'), ('E9', 'hold'), ('F18', 'end'), ('H4', 'start')]",7C+,2019,40
1117,"[('B5', 'start'), ('C5', 'hold'), ('C10', 'hold'), ('C11', 'hold'), ('H17', 'hold'), ('H13', 'hold'), ('I14', 'hold'), ('K18', 'end')]",7C+,2019,40
1118,"[('B18', 'end'), ('B13', 'hold'), ('D11', 'hold'), ('F2', 'start'), ('G14', 'hold'), ('H7', 'hold'), ('J7', 'hold'), ('K3', 'start')]",7C+,2019,40
1119,"[('B13', 'hold'), ('B4', 'hold'), ('C7', 'hold'), ('D8', 'hold'), ('E3', 'start'), ('E13', 'hold'), ('H18', 'end'), ('H14', 'hold'), ('I6', 'start')]",7C+,2019,40
1120,"[('C12', 'hold'), ('C15', 'hold'), ('D16', 'hold'), ('E7', 'hold'), ('E8', 'hold'), ('H15', 'hold'), ('H5', 'start'), ('I9', 'hold'), ('J18', 'end'), ('J3', 'start')]",7C+,2019,40
1121,"[('C12', 'hold'), ('F18', 'end'), ('H17', 'hold'), ('H11', 'hold'), ('I5', 'start'), ('K13', 'hold')]",7C+,2019,40
1122,"[('D18', 'end'), ('G8', 'hold'), ('G16', 'hold'), ('H13', 'hold'), ('I4', 'start'), ('J11', 'hold'), ('K5', 'start')]",7C+,2019,40
1123,"[('A2', 'hold'), ('A13', 'hold'), ('C3', 'start'), ('D16', 'hold'), ('E8', 'hold'), ('E9', 'hold'), ('G17', 'hold'), ('H11', 'hold'), ('J18', 'end')]",7C+,2019,40
1124,"[('B18', 'end'), ('B6', 'start'), ('C6', 'start'), ('D14', 'hold'), ('F11', 'hold'), ('H15', 'hold'), ('H13', 'hold'), ('K12', 'hold')]",7C+,2019,40
1125,"[('C10', 'hold'), ('C15', 'hold'), ('D14', 'hold'), ('G8', 'hold'), ('G18', 'end'), ('H6', 'start'), ('I12', 'hold'), ('J5', 'start')]",7C+,2019,40
1126,"[('A6', 'start'), ('A18', 'end'), ('B17', 'hold'), ('B12', 'hold'), ('E9', 'hold'), ('F5', 'start')]",7C+,2019,40
