,holds,grades
39,"[('A6', 'start'), ('A15', 'hold'), ('D18', 'end'), ('D1', 'hold'), ('E6', 'start'), ('E8', 'hold'), ('F12', 'hold')]",7A+
40,"[('B5', 'start'), ('C6', 'hold'), ('F18', 'end'), ('F12', 'hold'), ('G5', 'start')]",7C
41,"[('B18', 'end'), ('F6', 'start'), ('G13', 'hold'), ('I6', 'start')]",7C
42,"[('B15', 'hold'), ('C18', 'end'), ('E5', 'start'), ('E9', 'hold'), ('G5', 'start'), ('G12', 'hold')]",7C
43,"[('E5', 'start'), ('E12', 'hold'), ('G5', 'start'), ('G9', 'hold'), ('I18', 'end'), ('J15', 'hold')]",7C
44,"[('A13', 'hold'), ('B16', 'hold'), ('B9', 'hold'), ('B6', 'hold'), ('C2', 'start'), ('C5', 'start'), ('C15', 'hold'), ('G16', 'hold'), ('H15', 'hold'), ('K18', 'end')]",7C
45,"[('E14', 'hold'), ('F10', 'hold'), ('F5', 'start'), ('H18', 'end')]",7C
46,"[('A4', 'start'), ('A15', 'hold'), ('B8', 'hold'), ('D12', 'hold'), ('F18', 'end'), ('F3', 'start')]",7C
47,"[('B18', 'end'), ('D13', 'hold'), ('D6', 'hold'), ('F6', 'start'), ('H16', 'hold'), ('H11', 'hold')]",7C
48,"[('B18', 'end'), ('B6', 'start'), ('C12', 'hold'), ('F10', 'hold'), ('H16', 'hold')]",7C
49,"[('E4', 'start'), ('E12', 'hold'), ('G7', 'hold'), ('H18', 'end'), ('H3', 'start'), ('J14', 'hold')]",7C
50,"[('C8', 'hold'), ('C15', 'hold'), ('F11', 'hold'), ('G18', 'end'), ('H4', 'start')]",7C
51,"[('B15', 'hold'), ('E9', 'hold'), ('E12', 'hold'), ('H16', 'hold'), ('I6', 'start'), ('I18', 'end')]",7C
52,"[('E18', 'end'), ('H7', 'hold'), ('I3', 'start'), ('I10', 'hold'), ('I14', 'hold'), ('I16', 'hold')]",7C
53,"[('A10', 'hold'), ('D14', 'hold'), ('D3', 'start'), ('E2', 'start'), ('E15', 'hold'), ('G9', 'hold'), ('H8', 'hold'), ('J18', 'end'), ('J14', 'hold')]",7C
54,"[('D5', 'start'), ('G18', 'end'), ('H15', 'hold'), ('H12', 'hold'), ('H11', 'hold'), ('I5', 'start'), ('K16', 'hold')]",7C
55,"[('A4', 'hold'), ('B12', 'hold'), ('C6', 'start'), ('E5', 'start'), ('E9', 'hold'), ('E15', 'hold'), ('G15', 'hold'), ('I18', 'end')]",7C
56,"[('B11', 'hold'), ('C8', 'hold'), ('E3', 'start'), ('F16', 'hold'), ('H12', 'hold'), ('I3', 'start'), ('K18', 'end')]",7C
57,"[('A17', 'hold'), ('B18', 'end'), ('C12', 'hold'), ('D14', 'hold'), ('H12', 'hold'), ('H8', 'hold'), ('I1', 'start'), ('K6', 'start')]",7C
58,"[('A6', 'hold'), ('B8', 'hold'), ('B2', 'start'), ('D11', 'hold'), ('E14', 'hold'), ('F3', 'start'), ('G18', 'end'), ('I16', 'hold')]",7C
59,"[('E14', 'hold'), ('F11', 'hold'), ('F10', 'hold'), ('H18', 'end'), ('K3', 'start'), ('K5', 'start'), ('K9', 'hold')]",7C
60,"[('B6', 'start'), ('C8', 'hold'), ('D11', 'hold'), ('I14', 'hold'), ('I17', 'hold'), ('J10', 'hold'), ('K18', 'end')]",7C
61,"[('A8', 'hold'), ('D13', 'hold'), ('D9', 'hold'), ('F2', 'start'), ('G18', 'end'), ('H7', 'hold'), ('I14', 'hold'), ('J4', 'start'), ('K18', 'end')]",7C
62,"[('E18', 'end'), ('F16', 'hold'), ('H12', 'hold'), ('H3', 'start'), ('I3', 'start'), ('I7', 'hold')]",7C
63,"[('A5', 'start'), ('B12', 'hold'), ('B4', 'start'), ('G9', 'hold'), ('G15', 'hold'), ('H16', 'hold'), ('I18', 'end')]",7C
64,"[('A18', 'end'), ('B10', 'hold'), ('D3', 'start'), ('E14', 'hold'), ('G4', 'start'), ('G7', 'hold')]",7C
65,"[('D12', 'hold'), ('D11', 'hold'), ('D5', 'start'), ('F17', 'hold'), ('G6', 'hold'), ('G18', 'end'), ('K18', 'end')]",7C
66,"[('C17', 'hold'), ('E14', 'hold'), ('F10', 'hold'), ('G18', 'end'), ('H6', 'start'), ('I5', 'start')]",7C
67,"[('E11', 'hold'), ('F18', 'end'), ('G4', 'start'), ('G7', 'hold'), ('I16', 'hold'), ('J13', 'hold'), ('J4', 'start')]",7B+
68,"[('B18', 'end'), ('B7', 'hold'), ('D11', 'hold'), ('G6', 'start'), ('H16', 'hold'), ('I10', 'hold')]",7B+
69,"[('A18', 'end'), ('D12', 'hold'), ('D3', 'start'), ('E14', 'hold'), ('F3', 'start'), ('G8', 'hold')]",7B+
70,"[('B14', 'hold'), ('D18', 'end'), ('E6', 'start'), ('F11', 'hold')]",7B+
71,"[('A4', 'start'), ('D8', 'hold'), ('E10', 'hold'), ('H12', 'hold'), ('J18', 'end'), ('J14', 'hold')]",7B+
72,"[('B6', 'start'), ('C9', 'hold'), ('D6', 'start'), ('D2', 'hold'), ('F18', 'end'), ('F11', 'hold'), ('I11', 'hold'), ('I14', 'hold')]",7B+
