,holds,grades
0,"[('A13', 'hold'), ('B6', 'start'), ('C6', 'start'), ('E13', 'hold'), ('E18', 'end'), ('F12', 'hold'), ('G8', 'hold')]",8B
1,"[('B18', 'end'), ('C3', 'start'), ('E8', 'hold'), ('G16', 'hold'), ('I11', 'hold')]",8A+
2,"[('B15', 'hold'), ('C3', 'start'), ('C18', 'end'), ('D8', 'hold'), ('H13', 'hold'), ('K11', 'hold')]",8A+
3,"[('C11', 'hold'), ('C15', 'hold'), ('E4', 'start'), ('E18', 'end'), ('H6', 'start'), ('I12', 'hold'), ('J12', 'hold'), ('K7', 'hold')]",8A+
4,"[('D13', 'hold'), ('D6', 'start'), ('G3', 'start'), ('J16', 'hold'), ('J10', 'hold'), ('K5', 'hold'), ('K18', 'end')]",8A
5,"[('A13', 'hold'), ('B18', 'end'), ('B9', 'hold'), ('D8', 'hold'), ('E3', 'start'), ('K6', 'start')]",8A
6,"[('D13', 'hold'), ('D11', 'hold'), ('D4', 'start'), ('F18', 'end'), ('H14', 'hold'), ('H5', 'start'), ('I2', 'hold')]",8A
7,"[('A3', 'start'), ('A8', 'hold'), ('D2', 'start'), ('E11', 'hold'), ('G13', 'hold'), ('H13', 'hold'), ('I18', 'end')]",8A
8,"[('A8', 'hold'), ('B15', 'hold'), ('D11', 'hold'), ('E4', 'start'), ('G18', 'end'), ('H11', 'hold'), ('K6', 'start')]",8A
9,"[('B14', 'hold'), ('C16', 'hold'), ('D11', 'hold'), ('F2', 'start'), ('H7', 'hold'), ('I18', 'end')]",8A
10,"[('B12', 'hold'), ('C11', 'hold'), ('D11', 'hold'), ('D4', 'start'), ('E18', 'end'), ('G8', 'hold'), ('H15', 'hold'), ('I2', 'start'), ('I9', 'hold')]",8A
11,"[('C3', 'start'), ('C9', 'hold'), ('C16', 'hold'), ('E13', 'hold'), ('I18', 'end')]",8A
12,"[('A5', 'start'), ('C7', 'hold'), ('F18', 'end'), ('G8', 'hold'), ('H11', 'hold'), ('J16', 'hold'), ('K13', 'hold')]",8A
